,Id,Title,Date,DateAcquired
27210,558,"Palace of the Tuileries from the Place Carrousel, with the Arc de Triomph",1832,1856
27211,558,Part of the Palace of the Tuileries,1832,1856
27371,558,Le Havre: Tour de François Ier,1832,1856
27205,558,[blank],1832,1856
27366,558,"Shipping on the Seine, near Jumièges",1832,1856
27367,558,"Vessels on the Seine at Canteleu, near Rouen",1832,1856
26957,558,Bridge,1832,1856
27396,558,"Rouen, Looking Upriver",1832,1856
26956,558,Bridge,1832,1856
26955,558,Bridge,1832,1856
27397,558,"Rouen, Looking Downstream",1832,1856
27365,558,Honfleur: The Lieutenancy from the North-East,1832,1856
27372,558,Le Havre: The Quayside close to the Tour de François Ier,1832,1856
27373,558,Honfleur: The Lieutenancy from across the Vieux Bassin,1832,1856
27374,558,"Montivilliers, near Le Havre",1832,1856
26972,558,"Round Tower, and Other Buildings",1832,1856
26973,558,Paris: Porte St Denis,1832,1856
26974,558,[blank],1832,1856
26975,558,Scenes on the Seine,1832,1856
26976,558,Bridge,1832,1856
27195,558,Epinay [Turner],1832,1856
26978,558,Church,1832,1856
26971,558,?View at St Cloud,1832,1856
26979,558,Vincennes,1832,1856
31547,558,"A Woman Kneeling beside a Curtained Bed, and a Man Casting a Shadow",1834,1856
26981,558,Vincennes,1832,1856
26982,558,Vincennes,1832,1856
26983,558,Vincennes,1832,1856
26984,558,Vincennes,1832,1856
26998,558,"Paris: Part of a Panoramic View of the Ile de la Cité, from near the Pont des Arts",1832,1856
26997,558,The Vendôme Column,1832,1856
26980,558,Vincennes,1832,1856
27206,558,Fountain of the Châtelet,1832,1856
27165,558,"View, with Buildings",1832,1856
27194,558,Views on River. Epinay [Turner],1832,1856
27375,558,Harfleur: The Church of St-Martin Seen from the Banks of the River Lézarde,1832,1856
27376,558,View of Le Havre and the Seine Estuary from the Heights of Ste-Adresse,1832,1856
27377,558,La Havre from near the Fort de Ste-Adresse,1832,1856
27378,558,A Distant View of Harfleur from the West,1832,1856
27379,558,Rouen from the Grand Cours in the Faubourg St-Sever,1832,1856
30358,558,Vignette Study; Moonlight Scene with Bridges,1832,1856
30357,558,Vignette Study; ?Upper Rhine view,1832,1856
27166,558,"View, with Buildings; Also Bridge",1832,1856
30353,558,"Pine Trees, Italy",1832,1856
27392,558,Quillebeuf,1832,1856
27393,558,Between Quillebeuf and Villequier,1832,1856
26961,558,Group of Buildings,1832,1856
26960,558,Bridge,1832,1856
27197,558,"Paris, from the Barrière de Passy",1832,1856
27196,558,Base of the Vendôme Column,1832,1856
27203,558,Bridge and Buildings,1832,1856
27391,558,Harfleur,1832,1856
26996,558,Bridge,1832,1856
26965,558,Two Views of Seine; ?at St Cloud,1832,1856
27204,558,"Statue of Lafayette, in the Carrousel Square",1832,1856
27038,558,Bridge and Buildings,1832,1856
27044,558,"View, with Church and Bridge: ?At Mantes",1832,1856
27050,558,Castle on Hill,1832,1856
27112,558,"View, with Buildings",1832,1856
27051,558,Towers on Hill,1832,1856
27097,558,"View, with Buildings",1832,1856
27098,558,"View, with Buildings",1832,1856
27099,558,[blank],1832,1856
27100,558,"A House; Also, a Vaulted Interior",1832,1856
27101,558,Sketch,1832,1856
27102,558,"View, with Distant Church, Etc.",1832,1856
27103,558,"View, with Distant Church, Etc.",1832,1856
27104,558,"View, with Castle",1832,1856
27053,558,"View, with Town and River",1832,1856
27105,558,A Sketch,1832,1856
27039,558,"Church, Etc. ?Coudry [Turner]",1832,1856
27040,558,Melun,1832,1856
27117,558,Two Views. Visé. Veisee and ?Creucet [Turner],1832,1856
27041,558,View,1832,1856
27078,558,Buildings on Hill; ?Melun,1832,1856
27093,558,"View on River, with Bridge, Church, Etc.",1832,1856
27002,558,"Château, from the Grounds",1832,1856
27094,558,"Troyes: The Cathedral of St-Pierre and St-Paul, with the Tower of St-Nizier",1832,1856
27096,558,Brienne-le-Château,1832,1856
27048,558,"Bridge, with Houses",1832,1856
27113,558,"Group of Buildings, Etc.",1832,1856
27106,558,Distant Buildings on Hill,1832,1856
27114,558,"Village, with Church",1832,1856
27115,558,A Glimpse of the River. Lemoins - Aube [Turner],1832,1856
27046,558,"Bridge, with Houses on It, Etc.",1832,1856
27045,558,"View, with Church and Bridge: ?At Mantes",1832,1856
27049,558,Interior of Church. ?Nanghi [Turner],1832,1856
27116,558,Sketch,1832,1856
27043,558,Two Views: ?At Mantes,1832,1856
27042,558,At Melun,1832,1856
27047,558,"Bridge, with Houses; and Water Mill",1832,1856
27107,558,A Church. (?St Etienne du Mont),1832,1856
27108,558,House,1832,1856
27052,558,"Town, with Church",1832,1856
27304,558,Honfleur from Above,1832,1856
31546,558,A Woman in an Interior,1834,1856
27318,558,"The Cap de la Héve, with a Vessel Under Sail",1832,1856
27319,558,Tancarville: Moonrise,1832,1856
27327,558,"Study of a Group of Buildings, Probably in Paris",1832,1856
27291,558,Study for ‘Light Towers of la Hève’,1832,1856
27362,558,"On the Seine, near Jumièges",1832,1856
27301,558,Jumièges: The Abbey by Moonlight,1832,1856
27214,558,"View, with Trees and Buildings",1832,1856
27198,558,"The Invalides, and Other Views of Paris",1832,1856
27199,558,Bridge and Buildings,1832,1856
27200,558,The Invalides,1832,1856
27201,558,The Invalides,1832,1856
27202,558,Views on the River,1832,1856
27000,558,"Paris: Part of a Panoramic View of the Ile de la Cité, from near the Pont des Arts",1832,1856
26966,558,Bridge and Buildings,1832,1856
27212,558,"Bridge, with Buildings",1832,1856
27213,558,"Bridge, with Buildings; Two Views",1832,1856
26962,558,"View of Seine, with Bridge",1832,1856
27290,558,"Study for a View of the Cap de la Hève, Seen from Le Havre",1832,1856
27109,558,Church. (?St Etienne du Mont),1832,1856
27110,558,Road Running up Hill to ?Church,1832,1856
27111,558,?A Church. ?Peply [Turner],1832,1856
27095,558,[blank],1832,1856
27001,558,"Paris: Part of a Panoramic View of the Ile de la Cité, from near the Pont des Arts",1832,1856
27160,558,View,1832,1856
26999,558,"Paris: Part of a Panoramic View of the Ile de la Cité, from near the Pont des Arts",1832,1856
27300,558,"Quilleboeuf from the River, with the Towers of Tancarville in the Distance",1832,1856
27216,558,Bend of River,1832,1856
27218,558,Porte St Denis,1832,1856
27219,558,Views,1832,1856
27220,558,"View, with a Statue",1832,1856
27221,558,"Passengers Seated round a Fire, Waiting for the Coach",1832,1856
27222,558,Melun [Turner],1832,1856
27223,558,"Passengers Seated round a Fire, Waiting for the Coach",1832,1856
27215,558,"View, with St Germain in Distance",1832,1856
27217,558,The Palace at St-Germain-en-Laye,1832,1856
26995,558,Street Scene,1832,1856
26994,558,Street Scene,1832,1856
26993,558,[blank],1832,1856
28840,558,"John Knox House, Netherbow, High Street, Edinburgh",1834,1856
28839,558,"Lee Pen from near Traquair House, Innerleithen",1834,1856
28838,558,"Traquair House, Innerleithen; and Margate from the Sea",1834,1856
28837,558,Lee Pen and Tweed Bridge at Innerleithen,1834,1856
28816,558,"Neidpath Castle, Peebles, From the North",1834,1856
28815,558,"Neidpath Castle, Peebles, From the East",1834,1856
31578,558,"?A Curtained Bed, with a Naked Woman Reclining",1834,1856
28007,558,"?Harlech Castle, North Wales",1834,1856
27992,558,?Land’s End,1834,1856
31583,558,"A Curtained Bed, with Figures ?Watching a Naked Woman",1834,1856
31582,558,"A Dark Interior, with Figures ?Peering into a Curtained Bed",1834,1856
31581,558,"A Curtained Bed, ?with a Naked Woman",1834,1856
31580,558,"A Curtained Bed, with a Naked Woman or Couple Reclining",1834,1856
31579,558,"A Curtained Bed, with a Naked Woman Reclining, Possibly with a Companion",1834,1856
31577,558,"A Curtained Bed, with a Stooping Man ?Looking at a Naked Woman",1834,1856
28841,558,"Moubray House and John Knox House, Netherbow, Edinburgh; and a Coastline",1834,1856
28842,558,"The Canongate Tolbooth, Edinburgh",1834,1856
28843,558,Sailing Boat off Blythe Sands,1834,1856
28836,558,"Traquair House, Innerleithen",1834,1856
28820,558,Peebles Bridge and Parish Church with Neidpath Castle in the Distance,1834,1856
28819,558,"Neidpath Castle, Peebles, From the North",1834,1856
28818,558,"Neidpath Castle, Peebles, From the North-West",1834,1856
28817,558,"Neidpath Castle, Peebles, From the North",1834,1856
28834,558,"?Traquair House, Innerleithen",1834,1856
28853,558,"St Mary’s Loch, Selkirkshire",1834,1856
28845,558,"Lee Pen from Glenlude, Tweeddale",1834,1856
28814,558,"Neidpath Castle, Peebles, From the East",1834,1856
31571,558,"?A Curtained Bed, with a Figure or Figures",1834,1856
28850,558,"Dryhope Tower, St Mary’s Loch, Selkirkshire",1834,1856
28849,558,Approach to St Mary’s Loch from the North,1834,1856
31598,558,Castle on Mountain,1834,1856
28848,558,"View on the Road to St Mary’s Loch, ?Glenlude Farm",1834,1856
28847,558,"?Glenlude Hill and Farm, Tweeddale",1834,1856
28846,558,"?View South from Glenlude, Tweeddale",1834,1856
28844,558,Lee Pen from South of Innerleithen,1834,1856
28851,558,"St Mary’s Loch, Selkirkshire; and ?Margate from the Sea",1834,1856
27958,558,"?Harlech Castle, North Wales",1834,1856
31576,558,"A Curtained Bed, ?with a Figure",1834,1856
31575,558,"A Curtained Bed, with a Figure or Figures",1834,1856
28854,558,"St Mary’s Loch, Selkirkshire",1834,1856
31608,558,"Head and Bust of Woman, with Hood",1834,1856
28899,558,The River Tweed near Abbotsford,1834,1856
28907,558,"Chiefswood Cottage, Abbotsford",1834,1856
28906,558,"Rhymer’s Glen, Abbotsford",1834,1856
28905,558,"Rhymer’s Glen, Abbotsford",1834,1856
28904,558,"Rhymer’s Glen, Abbotsford",1834,1856
28852,558,"St Mary’s Loch, Selkirkshire",1834,1856
28903,558,"Rhymer’s Glen, Abbotsford",1834,1856
28901,558,"Rhymer’s Glen, Abbotsford",1834,1856
28900,558,The River Tweed near Abbotsford and Eildon Hill,1834,1856
28898,558,Abbotsford from across the Tweed with Eildon Hill Beyond,1834,1856
28909,558,Melrose Abbey,1834,1856
28897,558,Abbotsford from across the Tweed; and Eildon Hill,1834,1856
31601,558,Ruins on Rock,1834,1856
31567,558,"?A Curtained Bed, with Figures",1834,1856
28902,558,"Tweed Suspension Bridge, Melrose",1834,1856
28821,558,"Neidpath Castle, Peebles, From the North-West",1834,1856
31588,558,Inscription by Turner: ?Poetry,1834,1856
31592,558,Castle on Rock,1834,1856
31574,558,"A Curtained Bed, with a Naked Woman Looking Out",1834,1856
31573,558,"?A Curtained Bed, with a Figure or Figures",1834,1856
31572,558,"A Curtained Bed, with a Naked Figure Reclining",1834,1856
31584,558,"An Interior with a Curtained Bed, with a Standing Woman",1834,1856
31585,558,"An Interior with Hangings or a Curtained Bed, with Figures",1834,1856
31586,558,"A Dark Interior or Curtained Bed, with a Standing Woman",1834,1856
31587,558,"?A Curtained Bed, with a Woman Climbing In",1834,1856
31589,558,"Cochem, on the Moselle",1834,1856
28813,558,Peebles: The Parish Church and the Ruins of Cross Kirk,1834,1856
31593,558,"Mountains, with Castle",1834,1856
28812,558,"Holyrood Abbey, Edinburgh",1834,1856
28811,558,"Sketches of Holyrood Palace and Holyrood Abbey, Edinburgh",1834,1856
28810,558,Small Sketch of a ?Lighthouse,1834,1856
28809,558,"The Coast of Essex and Kent: Southend-on-Sea, Leigh, Margate and Kingsgate",1834,1856
28808,558,"Canongate, Edinburgh",1834,1856
28807,558,"The Canongate Tolbooth, Edinburgh",1834,1856
31594,558,Castle on Rock,1834,1856
28822,558,"Neidpath Castle, Peebles, From the North-West",1834,1856
28823,558,"Neidpath Castle, Peebles, From the South; and Peebles Bridge and Church from the West",1834,1856
28835,558,Innerleithen and Lee Pen from the South-East,1834,1856
27187,558,View of River Banks,1832,1856
27188,558,View of River Banks,1832,1856
27189,558,Views on River,1832,1856
27190,558,"Church with Two Towers, Etc.",1832,1856
27191,558,"Church, with Two Towers, Etc.",1832,1856
27192,558,"View, with Buildings",1832,1856
27193,558,St-Denis from the River,1832,1856
27186,558,"View, with Windmills on Hill, Etc.",1832,1856
27178,558,View from St Cloud,1832,1856
27180,558,"View of Seine with Meudon, Issy, Etc. [Turner], in Distance",1832,1856
27061,558,At St Cloud,1832,1856
27176,558,"Bridge, with Buildings",1832,1856
27170,558,At St Cloud,1832,1856
27171,558,At St Cloud,1832,1856
27172,558,At St Cloud,1832,1856
26968,558,"Street Scene, with Column. ?The Column of July",1832,1856
27177,558,View from St Cloud,1832,1856
26969,558,Street Scene,1832,1856
27185,558,"View, with Windmills on Hill",1832,1856
27183,558,Fontainebleau,1832,1856
22991,558,Caudebec-en-Caux from Above: A Study by Moonlight,1832,1856
26992,558,A Boulevard,1832,1856
26990,558,A Boulevard,1832,1856
26989,558,A Boulevard,1832,1856
26988,558,Distant View of Paris,1832,1856
26987,558,Distant View of Paris,1832,1856
26986,558,Distant View of Paris,1832,1856
27184,558,"Bridge, with Buildings",1832,1856
26985,558,"?Canal, with Houses",1832,1856
27167,558,Fountains at St Cloud,1832,1856
26977,558,[blank],1832,1856
27169,558,Fountains,1832,1856
27179,558,View of Seine near St Cloud,1832,1856
27168,558,Fountains at St Cloud,1832,1856
27181,558,"Bridge of St Cloud, from Sèvres",1832,1856
27182,558,Fontainebleau,1832,1856
26991,558,A Boulevard,1832,1856
27076,558,Buildings on Hill; ?Melun,1832,1856
27175,558,"Bridge, with Buildings",1832,1856
27174,558,?Dome of the Invalides,1832,1856
28925,558,Ruined Church Building; and Harbour with Shipping,1834,1856
31611,558,Town on River Banks,1834,1856
31610,558,Castle beside River,1834,1856
31609,558,Distant Mountains,1834,1856
28826,558,"Horsburgh Castle, near Peebles",1834,1856
40287,558,[inscriptions by Turner],1833,1856
28833,558,?Tweed Bridge and Innerleithen Toll House with Lee Pen Beyond,1834,1856
28926,558,"Kent Coast, from the Sea",1834,1856
31596,558,River Scene: ?On the Moselle,1834,1856
28831,558,Horsburgh Castle or Cardrona Tower near Innerleithen,1834,1856
28830,558,Cardrona Hill and the River Tweed; and Church and Other Buildings,1834,1856
28829,558,Cardrona Tower and Cardrona House near Innerleithen,1834,1856
40248,558,"Fortifications at Salzburg, probably on the Mönchsberg",1833,1856
28828,558,Horsburgh Castle; and the Tweed at Cardrona near Innerleithen,1834,1856
28827,558,"Horsburgh Castle, near Peebles",1834,1856
28824,558,"Neidpath Castle, Peebles, From the South-East",1834,1856
28832,558,Lee Pen from Innerleithen,1834,1856
27173,558,View of Seine from St Cloud,1832,1856
28927,558,Coast of Kent; and Ships Sailing,1834,1856
28929,558,Edinburgh Castle from Johnston Terrace,1834,1856
26967,558,Buildings,1832,1856
26970,558,"Bridge, with Buildings on Quay",1832,1856
40807,558,Van Tromp Returning after the Battle off the Dogger Bank,1833,1856
31548,558,"A Man and Woman Standing Together in an Interior, ?beside a Curtained Bed",1834,1856
31549,558,"A Curtained Bed, with a Man and Woman Embracing beside It",1834,1856
31550,558,"A Curtained Bed, with a Naked Man and Woman Embracing beside It",1834,1856
40518,558,[title not known],1833,1856
28928,558,Three Sketches at London Bridge,1834,1856
31551,558,"Figures ?Embracing or Undressing, Perhaps beside a Curtained Bed",1834,1856
28936,558,"Boats, with Figures",1834,1856
28933,558,Ruins of Church,1834,1856
31542,558,A Reclining Nude with her Arms behind her Head,1834,1856
28932,558,Church Ruins,1834,1856
28931,558,Church Ruins,1834,1856
40286,558,"Five Sketches of Paintings in the Imperial Picture Gallery in Vienna, Including: (1) Francesco Furini’s ‘Penitent Magdalene’ and (3) Rubens’s ‘Portrait of Hélène Fourment in a Fur Wrap’",1833,1856
28930,558,Edinburgh Castle from the Grassmarket,1834,1856
31552,558,"A Curtained Bed, with a Naked Man and Woman Embracing",1834,1856
25953,558,"Angers: (a) (Main) The Market Place, with the Twin Towers of the Cathedral; (b) A Church and Bridge, Perhaps at Angers",1826,1856
25594,558,[blank],1830,1856
25592,558,[blank],1830,1856
24660,558,"Terrace, with Trees; and Two Other Sketches",1828,1856
24661,558,"Terrace, with Trees",1828,1856
24662,558,Buildings,1828,1856
24663,558,"Figures, with Wagon and Horses",1828,1856
24664,558,Views of ?Harbour,1828,1856
24665,558,Views of ?Harbour,1828,1856
24666,558,[blank],1828,1856
24667,558,[inscription by Turner],1828,1856
24676,558,?Horse with Trappings; Also a View,1828,1856
24668,558,[blank],1828,1856
24670,558,Figures,1828,1856
24671,558,Study of Sky,1828,1856
24672,558,Study of Sky,1828,1856
24673,558,[blank],1828,1856
24674,558,Group of Figures; Also Horse,1828,1856
17639,558,Steps of La Trinita dei Monti,1828,1856
24677,558,Woman Wrapped in Shawl Seated with Packages beside Her,1828,1856
24697,558,Coast Scene,1828,1856
24688,558,"Two Views of Doulon (near Nantes, on Loire)",1828,1856
24681,558,"The Doric Temple in the Pleasure Ground, Petworth",1828,1856
24682,558,Under the Trees,1828,1856
24683,558,Under the Trees,1828,1856
24684,558,"Woodland Scene, with Monument on Right",1828,1856
24685,558,"Trees, with Monument",1828,1856
24686,558,"Trees, with Monument",1828,1856
24678,558,Figures,1828,1856
24675,558,"Figures, ?French Peasants",1828,1856
24687,558,Trees,1828,1856
24690,558,"Coast Scene, with Figures and Houses",1828,1856
24691,558,"Coast Scene, with Figures and Houses",1828,1856
24692,558,Scenes on Coast,1828,1856
24693,558,Scenes on Coast. Schoor [Turner],1828,1856
24694,558,Coast Scene,1828,1856
24695,558,Coast Scene,1828,1856
24696,558,Coast Scene,1828,1856
24689,558,"Sea Coast, with Cliffs",1828,1856
17641,558,"Rome, from Mount Aventine",1828,1856
17640,558,"Rome, from Mount Aventine",1828,1856
24669,558,Figures,1828,1856
24532,558,"(a) Nepi and its Aqueduct; (b) The Monastery of St Bernard at Nepi, with Mount Soracte behind It; (c) Pinnacle of the Town Hall at Nepi",1828,1856
24540,558,Mountains,1828,1856
24551,558,Buildings,1828,1856
24552,558,"View of Rome: The Arches of Constantine and Titus, the Meta Sudans, the Temple of Venus and Rome, and the Colosseum",1828,1856
24553,558,"View of Rome: The Arches of Constantine and Titus, the Meta Sudans, the Temple of Venus and Rome, and the Colosseum",1828,1856
17638,558,"Interior, Church",1828,1856
24571,558,Montefiascone,1828,1856
24533,558,Two Sketches of the Aqueduct at Nepi,1828,1856
24570,558,(a) (b) Montefiascone; (c) Hills; (d) Mount Soracte,1828,1856
24568,558,Distant Mountains,1828,1856
24567,558,Three Views of Lago di Vico with Monte Venere,1828,1856
24566,558,"(a) S. Trinità, Viterbo; Three Panoramas of Viterbo",1828,1856
24565,558,"Viterbo: (a) (b) Porta Fiorentina and the Rocca from outside the Walls; (c) Gardens of the Palazzo Comunale, with Two Etruscan Tombs and a Fountain, Looking towards the Campanile of the Cathedral; (d) Panorama",1828,1856
24564,558,"The Left Transept of S. Francesco at Viterbo, with a Sketch of Sebastiano del Piombo’s ‘Pièta’ in the Transept",1828,1856
24563,558,"Piazza della Rocca, and the Porta Fiorentina, Viterbo, from the Corner of the Piazza di S. Francesco; Silhouette of the Fountain",1828,1856
24562,558,"(a) Town Gate at Viterbo; (b) Ronciglione, with the Cathedral and the Campanile of S. Maria della Provvidenza",1828,1856
24569,558,"(a) View from Palazzo Farnese, Caprarola; (b) Vignola’s Circular Staircase in Palazzo Farnese, Caprarola",1828,1856
24680,558,"The Doric Temple in the Pleasure Ground, Petworth",1828,1856
24534,558,The Rocca and Cathedral at Nepi and a View of the Town,1828,1856
24536,558,The Rocca and Cathedral at Nepi,1828,1856
24698,558,Coast Scene,1828,1856
24699,558,Coast Scene,1828,1856
24700,558,Coast Scenes,1828,1856
24549,558,Two Sketches at Nepi: (a) The Cathedral and Rocca; (b) The Rocca,1828,1856
24548,558,"Three Views at Nepi, Showing the Rocca, Cathedral and Aqueduct",1828,1856
24547,558,Four Views of Mount Soracte at Sunset,1828,1856
24546,558,"Five Mountain Views, Including: (a) Mount Soracte",1828,1856
24535,558,The Rocca at Nepi,1828,1856
24545,558,View on the Road from Ronciglione to Nepi; Views of Trees and of Mount Soracte,1828,1856
24543,558,[blank],1828,1856
24542,558,Six Designs for Picture of Town with Viaduct,1828,1856
24550,558,Buildings,1828,1856
24541,558,"Mountains, Etc.",1828,1856
24539,558,"Lake among Mountains, Etc.",1828,1856
24538,558,The Forum at Rome: (a) The Temple of Castor and Pollux; (b) The Temple of Saturn; View of Hills,1828,1856
24537,558,The Walls below the Rocca at Nepi,1828,1856
24544,558,"Six Sketches of Mountains: (a), (c) and (d) Including Mount Soracte",1828,1856
24561,558,"Ruined Tuwers, Etc.",1828,1856
24679,558,Seated Female Figure,1828,1856
24470,558,[blank],1828,1856
24293,558,Florence: Ponte Rubaconte from the Ponte Vecchio,1828,1856
24294,558,"Florence, from the Central Arches of the Ponte Vecchio",1828,1856
24295,558,Shipping on River,1828,1856
24296,558,"Leghorn, from the Harbour",1828,1856
24297,558,[blank],1828,1856
24298,558,[blank],1828,1856
24299,558,Leghorn [Turner],1828,1856
24300,558,Leghorn,1828,1856
24288,558,"View of Florence, from the Area of the Present-Day Piazzale Michelangelo and S. Salvatore",1828,1856
24301,558,[blank],1828,1856
24303,558,Views at Leghorn,1828,1856
24304,558,"The Lighthouse, Leghorn",1828,1856
24305,558,"The Lighthouse, Leghorn",1828,1856
24306,558,Harbour and Statue - ?Grand-Duke Ferdinand I - at Leghorn,1828,1856
24307,558,Entablature of a Building,1828,1856
24292,558,View of Florence,1828,1856
24291,558,"View of Florence, from the Area of the Present-Day Piazzale Michelangelo and S. Salvatore",1828,1856
24290,558,"Views of Florence, from the Area of the Present-Day Piazzale Michelangelo and S. Salvatore",1828,1856
24289,558,"Views of Florence, from the Area of the Present-Day Piazzale Michelangelo and S. Salvatore",1828,1856
24219,558,Mountains,1828,1856
24220,558,Buildings on Mountain. Avenza [Turner],1828,1856
24221,558,Massa [Turner],1828,1856
24222,558,Massa [Turner],1828,1856
24223,558,View of Coast,1828,1856
17695,558,Ruins,1828,1856
24224,558,View of Coast,1828,1856
24308,558,Arrezza [Turner],1828,1856
24225,558,[blank],1828,1856
24227,558,View of Florence,1828,1856
24228,558,Mountains,1828,1856
24229,558,Mountains,1828,1856
24257,558,"The Duomo and Campanile, Pisa",1828,1856
24316,558,Buildings,1828,1856
24258,558,"The Duomo, Pisa",1828,1856
24260,558,Massa [Turner],1828,1856
24226,558,Building on Mountain,1828,1856
24309,558,"Via di Banchi, Pisa, with the Logge di Banchi on the Left",1828,1856
24310,558,Street Scene,1828,1856
24311,558,"Buildings, with Mountains Beyond",1828,1856
24274,558,Leghorn,1828,1856
24275,558,"Town, with Bridge: Florence",1828,1856
24276,558,Views of Florence,1828,1856
24277,558,"Town, with Walls and Tower",1828,1856
24278,558,"Livorno, with the Monument to Ferdinando I de’ Medici",1828,1856
24279,558,Buildings on Hill,1828,1856
17691,558,Mountains,1828,1856
24273,558,Leghorn [Turner],1828,1856
24280,558,?River with Hills,1828,1856
24282,558,[blank],1828,1856
17690,558,Town on Hill,1828,1856
17689,558,Mountains,1828,1856
24283,558,River Winding between Mountains,1828,1856
24284,558,Buildings with Bridge,1828,1856
24259,558,Mountains,1828,1856
17685,558,Loreto,1828,1856
24281,558,"Town, with Bridges",1828,1856
17684,558,Interior of Church,1828,1856
24272,558,Town,1828,1856
24270,558,"Buildings on Hill, with Coast and Distant Mountains",1828,1856
24312,558,Near Pisa [Turner],1828,1856
24313,558,"View on the Arno at Pisa, with the Ponte di Mezzo",1828,1856
24314,558,The Cathedral at Livorno,1828,1856
24302,558,Views at Leghorn,1828,1856
24287,558,"View of Florence, from the Area of the Present-Day Piazzale Michelangelo and S. Salvatore",1828,1856
24286,558,"View of Florence, from the Area of the Present-Day Piazzale Michelangelo and S. Salvatore",1828,1856
24285,558,"View of Florence, from the Area of the Present-Day Piazzale Michelangelo and S. Salvatore",1828,1856
24271,558,Town,1828,1856
24261,558,"Tower, with Mountains",1828,1856
24263,558,[blank],1828,1856
24395,558,A View,1828,1856
24265,558,Buildings on Hill,1828,1856
24266,558,"Town, with Distant Mountains",1828,1856
24267,558,"Florence, from the East, Looking towards Ponte Rubaconte",1828,1856
24268,558,Mountains,1828,1856
24269,558,Mountains,1828,1856
24262,558,[blank],1828,1856
24218,558,View of Florence,1828,1856
24560,558,"Distant Mountains, Including Monte Rosa",1828,1856
24558,558,[blank],1828,1856
24441,558,Village among the Alps,1828,1856
24440,558,Diligences on the Mont Cenis Road,1828,1856
24439,558,Wooden Bridges over River,1828,1856
24438,558,Termignon - Cenis [Turner],1828,1856
24437,558,On the Mont Cenis Road,1828,1856
17670,558,"Via Rizzoli, Bologna, Looking towards the Two Towers",1828,1856
17671,558,"Piazza del Nettuno, Bologna",1828,1856
17636,558,Sketch,1828,1856
17672,558,A Town,1828,1856
17673,558,?Serravalle [Turner],1828,1856
17674,558,Pesara [Turner],1828,1856
24436,558,On the Mont Cenis Road,1828,1856
24435,558,On the Mont Cenis Road,1828,1856
17675,558,"Towers, Etc.",1828,1856
24434,558,[blank],1828,1856
24442,558,Village among the Alps,1828,1856
24528,558,?Palazzo Vinchea [Turner],1828,1856
24530,558,"Panorama of Nepi, with Mount Soracte on the Left",1828,1856
39288,558,"Landscape with a Low Sun, Possibly Related to ‘Ulysses Deriding Polyphemus’",1828,1856
24592,558,Group of Figures,1828,1856
24591,558,"Buildings on Hill, with Tower; Two Sketches",1828,1856
24590,558,Coast or River Scenes,1828,1856
24589,558,Coast or River Scenes,1828,1856
24588,558,"Coast, with Houses",1828,1856
24587,558,Figures on Shore,1828,1856
24586,558,"Boats on Shore, with Houses",1828,1856
24433,558,[blank],1828,1856
24585,558,"Boats, with Figures",1828,1856
24583,558,Diagram,1828,1856
24582,558,[inscriptions by Turner],1828,1856
24581,558,[inscriptions by Turner],1828,1856
24641,558,View of Campagna,1828,1856
24580,558,[inscriptions by Turner],1828,1856
24579,558,"Five Panoramas, Including Two Views of Montefiascone",1828,1856
24596,558,[inscriptions by Turner],1828,1856
24584,558,"Boats, with Figures",1828,1856
24432,558,"Susa, with Alps",1828,1856
17635,558,A Church - ?La Trinita dei Monti,1828,1856
24431,558,Suza [Turner],1828,1856
24452,558,"Road, with Mountains",1828,1856
24430,558,"Church of St Just, Susa",1828,1856
24429,558,Houses,1828,1856
24428,558,Town,1828,1856
24404,558,View of Town,1828,1856
24403,558,Buildings. Lodi [Turner] (between Bologna and Milan),1828,1856
24402,558,"Buildings, with Campanile. ?Carldo Panley [Turner] (?Casal Pusterlengo, the Next Post-Town to Lodi)",1828,1856
17669,558,Loreto,1828,1856
17676,558,Bologna and the Madonna di S. Luca,1828,1856
17678,558,A Town,1828,1856
17679,558,?Rubeira and Bon Molani [Turner],1828,1856
17680,558,Osimo [Turner],1828,1856
24405,558,"River, with Town and Bridge",1828,1856
17681,558,Building on Hill,1828,1856
17683,558,Interior of St Domino [Turner],1828,1856
24401,558,Distant View,1828,1856
17677,558,[blank],1828,1856
24640,558,Tivoli,1828,1856
24445,558,[blank],1828,1856
24447,558,Buildings,1828,1856
24443,558,[blank],1828,1856
17637,558,Diagram,1828,1856
17667,558,Osimo [Turner],1828,1856
17668,558,Osimo,1828,1856
24459,558,[blank],1828,1856
24458,558,[blank],1828,1856
24457,558,Distant Views of Town,1828,1856
24446,558,Distant View of Mountains,1828,1856
24456,558,"Road, with Mountains",1828,1856
24454,558,[blank],1828,1856
24444,558,"Street, with Alps Beyond",1828,1856
24453,558,Street,1828,1856
24451,558,A Youth - Head and Shoulders; Also View of Alps,1828,1856
24450,558,[blank],1828,1856
24449,558,Views of Town,1828,1856
24448,558,Buildings among the Alps. Martin [Turner],1828,1856
24455,558,"Road, with Mountains. Lansberg [Turner] (Lans-le-Bourg)",1828,1856
24559,558,[blank],1828,1856
24593,558,Group of Figures,1828,1856
24594,558,[inscriptions by Turner],1828,1856
24604,558,Figures,1828,1856
24603,558,Cliffs on Coast,1828,1856
24602,558,Cliffs on Coast,1828,1856
24601,558,Coast Scenes. ?At Dover,1828,1856
